idFormulario1;numEjemplarF1;fecha;esHospedaje;idMacrozona;idZonaGrupo;idCoordinador;idSupervisor;idAtractor;clave catastral;referencia;idNovedad
3373;4235;02/07/2020;false;1;5;1;1;5;7.02E+16;Mercado 3 deNoviembre;Ninguna
3374;4236;02/07/2020;false;1;5;1;1;3;7.02E+16;Feria de las especies,Construproyect, arroz tienda;Otra
3375;4237;02/07/2020;false;1;5;1;1;3;7.02E+16;local cerrado 15-79;El predio no esta en funcionamiento
3376;4238;02/07/2020;false;1;5;1;1;3;7.02E+16;Ferreteria latina;Ninguna
3377;4239;02/07/2020;false;1;5;1;1;4;7.02E+16;panaderia mi dulce pastel;Ninguna
3378;4240;02/07/2020;false;1;5;1;1;4;7.02E+16;local cerrado;El horario de atencion no coincide con el horario del barrido
3379;4241;02/07/2020;false;1;5;1;1;4;7.02E+16;Centro medico mujer integral, farmacia Virgen del auxilio, local cerrado;El horario de atencion no coincide con el horario del barrido
3380;4242;02/07/2020;false;1;5;1;1;4;7.02E+16;local cerrado 5-66, local de letreros;Otra
3381;4243;02/07/2020;false;1;5;1;1;4;1.02E+16;casa antigua con un local 10-17;Otra
3382;4244;02/07/2020;false;1;5;1;1;3;1.02E+16;Dicovs Dise«ü∂Òo confeccion ;Se niegan a llenar la encuesta
3383;4245;02/07/2020;false;1;5;1;1;19;1.02E+16;Parqueadero 3 de noviembre;Ninguna
3384;4246;02/07/2020;false;1;5;1;1;4;1.02E+16;Optivisual, tienda de regalos 10-79;Otra
3385;4247;02/07/2020;false;1;5;1;1;8;1.02E+16;Unidad educativa San Francisco ;Ninguna
3386;4248;02/07/2020;false;1;5;1;1;4;1.02E+16;Center print, copias;Ninguna
3387;4249;02/07/2020;false;1;5;1;1;4;1.02E+16;monkey tecnology 10-35, amphora, casa 10-33;Otra
3388;4250;02/14/2020;false;1;5;1;1;4;1.02E+16;Anahicell;Ninguna
3389;4251;02/10/2020;false;1;5;1;1;3;1.02E+16;Bazar Maria del Cisne, Recuerdos Tarjetas Cristaleria Trajes;Ninguna
3390;4252;02/10/2020;false;1;5;1;1;4;1.02E+16;Consultoria Dr. Marco Pezantes;El horario de atencion no coincide con el horario del barrido
3391;4253;02/10/2020;false;1;5;1;1;4;1.02E+16;SEC;El horario de atencion no coincide con el horario del barrido
3392;4254;02/10/2020;false;1;5;1;1;3;1.02E+16;tienda de ropa de enfermer«ü∂a;Se niegan a llenar la encuesta
3393;4274;02/06/2020;false;1;4;1;1;4;8.01E+16;remigio y espa«ü∂Òola;Ninguna
3394;4275;02/05/2020;false;1;4;1;1;3;8.01E+16;remigio;Ninguna
3395;4276;02/05/2020;false;1;4;1;1;4;8.01E+16;isabela y espa«ü∂Òola;Ninguna
3396;4278;02/05/2020;false;1;4;1;1;4;8.01E+16;edwin sacoto ;Ninguna
3397;4281;02/10/2020;false;2;20;2;1;3;7.01E+16;Mecanica Barrera;Otra
3398;4282;02/10/2020;false;2;20;2;1;4;7.01E+16;talleres de escape y tienda de frutas;Otra
3399;4283;02/10/2020;false;2;20;2;1;4;7.03E+16;edificio esquinero con 5 locales comerciales y tres pisos de departamentos en construccion ;Ninguna
3400;4284;02/10/2020;false;2;20;2;1;4;7.03E+16;edificio de ladrillo visto con tres locales comerciales lavadora de carros, autolujos y picanteria;Otra
3401;4285;02/10/2020;false;2;20;2;1;4;7.03E+16;peluqueria, proeltel y arquitectura;Ninguna
3402;4286;02/10/2020;false;2;20;2;1;3;7.03E+16;Soldador puerta metalica color negro ;El horario de atencion no coincide con el horario del barrido
3403;4287;02/10/2020;false;2;20;2;1;4;7.03E+16;edificio de ladrillo visto ;El predio no esta en funcionamiento
3404;4288;02/10/2020;false;2;20;2;1;3;7.03E+16;propiedad en venta esquinero ;El predio no esta en funcionamiento
3405;4289;02/10/2020;false;2;20;2;1;4;7.01E+16;Tienda esquinera;Ninguna
3406;4290;02/10/2020;false;2;20;2;1;4;7.05E+15;tienda y local de ropa;Ninguna
3407;4291;02/10/2020;false;2;20;2;1;4;7.01E+16;papeleria y bazar 4 esquinas;Ninguna
3408;4292;02/10/2020;false;2;20;2;1;1;7.01E+16;Vivienda de dos pisos ;Ninguna
3409;4293;02/10/2020;false;2;20;2;1;4;7.05E+16;Bazar nicol ;Ninguna
3410;4294;02/10/2020;false;2;20;2;1;3;7.03E+16;almacenes juan eljuri y beat gym ;Otra
3411;4295;02/10/2020;false;2;20;2;1;3;7.03E+16;Mc balzay;Se niegan a llenar la encuesta
3416;4370;02/04/2020;false;2;15;2;1;4;9.02E+16;Casa de color hueso con tienda de barrio esquinera;Se niegan a llenar la encuesta
3417;4371;02/04/2020;false;2;15;2;1;1;9.20E+16;Vivienda;El horario de atencion no coincide con el horario del barrido
3418;4372;02/04/2020;false;2;15;2;1;4;9.02E+16;Edificio mixto esquinero;Se niegan a llenar la encuesta
3419;4373;02/04/2020;false;2;15;2;1;4;9.02E+16;Edificio mixto;El predio desarrolla otras actividades de comercio y/o servicios
3420;4376;02/04/2020;false;2;15;2;1;1;9.02E+15;Vvivenda ;El horario de atencion no coincide con el horario del barrido
3421;4377;02/04/2020;false;2;15;2;1;4;9.02E+15;Edificio mixto - calle francisco y Av. don bosco;El horario de atencion no coincide con el horario del barrido
3424;4396;02/04/2020;false;2;15;2;1;4;9.02E+15;Ferreteria multiacabados su economia;Ninguna
3426;4400;02/13/2020;false;2;14;2;1;4;9.01E+16;Edificio mixto-Juan de Dios Morales y Camino a Ba«ü∂Òos ;Ninguna
3427;4401;02/13/2020;false;2;14;2;1;4;9.01E+16;edificio mixto Dos De Agosto;El horario de atencion no coincide con el horario del barrido
3428;4402;02/13/2020;false;2;14;2;1;4;9.01E+16;Casa (Calle Lizardo Abad y Primero de Mayo);Ninguna
3429;4403;02/13/2020;false;2;14;2;1;4;9.01E+15;Casa -Calle Cornelio Tamariz Valdiviezo ;Ninguna
3430;4404;02/13/2020;false;2;14;2;1;4;9.01E+15;Casa - Calle cornelio tamariz Valdiviezo;Ninguna
3431;4405;02/13/2020;false;2;14;2;1;1;9.01E+15;Vivienda (Av. Primero de Mayo );Ninguna
3432;4406;02/04/2020;false;2;15;2;1;4;9.02E+16;Casa esquinera color amarillo, peluqueria unisex, Av. Loja y don bosco.;Se niegan a llenar la encuesta
3433;4407;02/04/2020;false;2;15;2;1;4;9.02E+16;Casa mixta de ladrillo visto, tienda y forro modelo, Av. Loja.;Se niegan a llenar la encuesta
3434;4408;02/04/2020;false;2;15;2;1;4;9.02E+16;Casa color tomate esquinera, disfraces y veterinaria;Se niegan a llenar la encuesta
3435;4409;02/04/2020;false;2;15;2;1;4;9.02E+16;Autopan«?∂Ôts;Ninguna
3436;4410;02/04/2020;false;2;15;2;1;4;9.02E+16;Peluqueria Alicia;Se niegan a llenar la encuesta
3437;4411;02/04/2020;false;2;15;2;1;3;9.02E+16;Calle el Salado, casa tipo bodega con cerramiento.;El horario de atencion no coincide con el horario del barrido
3438;4412;02/04/2020;false;2;15;2;1;4;9.02E+16;Estilos Loly Unisex ;Se niegan a llenar la encuesta
3439;4413;02/04/2020;false;2;15;2;1;4;9.02E+15;Valentina«?∂Ôs pharma ' calle el salado y don bosco.;Ninguna
3440;4414;02/04/2020;false;2;15;2;1;4;9.02E+15;Comercial B y M .;Ninguna
3441;4415;02/04/2020;false;2;15;2;1;4;9.02E+16;Odonto - Av. Don bosco;Ninguna
3442;4416;02/04/2020;false;2;15;2;1;4;9.02E+15;Secos el manaba;El horario de atencion no coincide con el horario del barrido
3443;4417;02/04/2020;false;2;15;2;1;4;9.02E+16;Edificio mixto de 2 locales comerciales, taller de electricidad y automotriz;Ninguna
3444;4418;02/04/2020;false;2;15;2;1;4;9.02E+15;Lavadora de Autos;Ninguna
3445;4419;02/04/2020;false;2;15;2;1;4;9.02E+15;Cremer - Calle francisco Av. Don bosco;El horario de atencion no coincide con el horario del barrido
3446;4420;02/12/2020;false;2;16;2;1;4;1.50E+17;Comercial Cristo Rey ;Ninguna
3447;4423;02/12/2020;false;2;16;2;1;4;1.50E+17;Bailoterapia;El horario de atencion no coincide con el horario del barrido
3448;4424;02/12/2020;false;2;16;2;1;4;1.50E+17;Tienda al por mayor;Se niegan a llenar la encuesta
3449;4425;02/12/2020;false;2;16;2;1;4;1.50E+17;Tienda al por mayo dos pisos color verde;Se niegan a llenar la encuesta
3450;4426;02/12/2020;false;2;16;2;1;4;1.50E+17;Farmacia comunitaria y distribuidora;El predio desarrolla otras actividades de comercio y/o servicios
3451;4427;02/12/2020;false;2;16;2;1;4;1.50E+17;Agromas y tienda;El predio desarrolla otras actividades de comercio y/o servicios
3452;4428;02/12/2020;false;2;16;2;1;4;1.50E+17;YAG alineacion y balanceo ;Se niegan a llenar la encuesta
3453;4429;02/12/2020;false;2;16;2;1;3;1.50E+17;tienda;Otra
3425;4397;02/13/2020;false;2;36;2;1;4;9.01E+16;Edificio mixto- Calle Antonio Lloret Bastidas -Planificai«ü∂¸n Byron-;El horario de atencion no coincide con el horario del barrido
3459;4436;02/12/2020;false;2;16;2;1;4;1.50E+17;Edificio de 5 pisos color amarillo;El predio desarrolla otras actividades de comercio y/o servicios
3466;4447;02/21/2020;false;2;12;2;1;19;9.03E+16;Francisco de Orellana y Yanuncay. Terreno Baldio;Otra
